pref_id,pref_name,year,month,year_month,n_leave_m,n_leave_f,pop,pop75,oldshare75,n_need,facility_users,u_rate,n_ei,date,moy,w_total,ln_ratio_mf,t_index,ln_ei,ln_need,ln_fac,z_u_rate,z_ln_ei,z_ln_need,z_ln_fac,z_oldshare75
44,Oita,2017,11,201711,0,10,1152000,191000,0.166,33926,9972,2.7,333392,2017-11-01,11,10,-3.04452243772342,3,12.71707425381,10.4319369610557,9.20753644464345,0.0793080733689514,-0.587669990855216,-0.722256378819265,-0.748844277469952,0.901451584752117
45,Miyazaki,2017,11,201711,3,19,1089000,177000,0.163,32670,9512,1.9,296998,2017-11-01,11,22,-1.71765149707433,3,12.6014806837554,10.3942125045951,9.16030943837062,-1.03026720427663,-0.724908602941573,-0.779439866295416,-0.824888539922224,0.756623584809034
46,Kagoshima,2017,11,201711,4,18,1626000,270000,0.166,53590,16559,2.7,457404,2017-11-01,11,22,-1.41369333530801,3,13.0333223056135,10.8891177624889,9.71468503964248,0.0793080733689514,-0.212204091808728,-0.0292525535572261,0.0677592700344862,0.901451584752117
47,Okinawa,2017,11,201711,8,27,1443000,153000,0.106,34799,8772,3.6,418455,2017-11-01,11,35,-1.17411984117625,3,12.9443246362485,10.4573439297175,9.07932010953778,1.32758026072023,-0.317866687200521,-0.683743986313346,-0.955296420151145,-1.99510841410955
1,Hokkaido,2017,12,201712,8,30,5320000,816000,0.153,148200,42141,2.9,1528925,2017-12-01,12,38,-1.2776605201171,3,14.2400754320404,11.9063179918441,10.648776417499,0.356701892780346,1.22051508213444,1.51263994890725,1.57182009239052,0.273863584998756
2,Aomori,2017,12,201712,1,8,1278000,208000,0.163,45719,11316,2.8,357261,2017-12-01,12,9,-1.73460105538811,3,12.7862218860809,10.7302692454036,9.33397293242146,0.218004983074649,-0.50557437708159,-0.270038320659052,-0.545258019967413,0.756623584809034
3,Iwate,2017,12,201712,3,9,1255000,214000,0.171,44367,13272,1.6,370080,2017-12-01,12,12,-0.998528830111127,3,12.8214744774653,10.7002512288349,9.49341183187028,-1.44635793339372,-0.463720693422886,-0.315540232033445,-0.288531742533164,1.14283158465726
4,Miyagi,2017,12,201712,3,22,2323000,315000,0.136,58039,17073,2.7,731366,2017-12-01,12,25,-1.86075234071501,3,13.502669297426,10.9688704773528,9.74525354727123,0.0793080733689514,0.345028717186312,0.091638210670956,0.116980251848702,-0.546828414678714
5,Akita,2017,12,201712,3,7,996000,192000,0.193,41959,12331,2.4,288000,2017-12-01,12,10,-0.762140052046897,3,12.5707157591181,10.6444482300051,9.41987169587053,-0.336782655748142,-0.761434298585182,-0.400127536506666,-0.406945037045929,2.20490358423987
6,Yamagata,2017,12,201712,2,12,1102000,192000,0.174,38834,11967,1.6,325406,2017-12-01,12,14,-1.6094379124341,3,12.6928289124416,10.5670514305544,9.38990814057352,-1.44635793339372,-0.616455303026031,-0.517447156915516,-0.455191933108874,1.28765958460034
7,Fukushima,2017,12,201712,5,19,1882000,294000,0.156,62334,18326,2.2,579814,2017-12-01,12,24,-1.26566637333128,3,13.2704626414355,11.0402623022986,9.81607609552516,-0.614176475159537,0.069341071495335,0.19985537032589,0.231017724726981,0.41869158494184
8,Ibaraki,2017,12,201712,4,24,2892000,391000,0.135,73061,24288,2.3,787364,2017-12-01,12,28,-1.69459572077441,3,13.5764459363551,11.1990499876358,10.0977376801954,-0.47547956545384,0.432620124963131,0.440548927444322,0.684545253947174,-0.595104414659742
9,Tochigi,2017,12,201712,4,11,1957000,254000,0.13,47361,13172,2,567420,2017-12-01,12,15,-0.93826963859293,3,13.2488550492376,10.7655543841998,9.48584864349625,-0.891570294570933,0.043687430359695,-0.21655239980662,-0.300709882268888,-0.836484414564881
10,Gunma,2017,12,201712,4,14,1960000,278000,0.142,54025,16196,2.1,605086,2017-12-01,12,18,-1.17007125265025,3,13.3131258756711,10.8972021813751,9.69251957715205,-0.752873384865235,0.119993050241638,-0.0169980293173892,0.0320687535266007,-0.257172414792549
11,Saitama,2017,12,201712,17,44,7310000,873000,0.119,150030,44323,2.6,1499442,2017-12-01,12,61,-0.933288308242726,3,14.2206035968633,11.9185905530811,10.699259008661,-0.0593888363367464,1.19739712122003,1.53124294329437,1.65310645192422,-1.36752041435619
12,Chiba,2017,12,201712,7,41,6246000,791000,0.127,138822,37255,2.5,1209739,2017-12-01,12,48,-1.71079040669439,3,14.0059151918265,11.8409478159357,10.5255414429878,-0.198085746042444,0.942508041106128,1.41355052559694,1.37338886660225,-0.981312414507964
13,Tokyo,2017,12,201712,91,228,13724000,1588000,0.116,305613,73671,2.9,9937974,2017-12-01,12,319,-0.915197238052784,3,16.1118737349204,12.6300748746368,11.2073645136312,0.356701892780346,3.44280998202918,2.60972514312942,2.47125080242949,-1.51234841429927
14,Kanagawa,2017,12,201712,21,46,9159000,1099000,0.12,210415,53000,2.2,2182868,2017-12-01,12,67,-0.771399377459694,3,14.596150166457,12.2568370500802,10.8780471925343,-0.614176475159537,1.64326526042973,2.04396376526897,1.94098867548247,-1.31924441437516
15,Niigata,2017,12,201712,11,14,2267000,371000,0.164,79142,26242,2.2,724370,2017-12-01,12,25,-0.231801614057324,3,13.4930575905502,11.2789989862906,10.1751164596657,-0.614176475159537,0.333617206054668,0.561737222578096,0.809139478283209,0.804899584790062
16,Toyama,2017,12,201712,2,6,1056000,169000,0.16,34833,11196,1.9,368345,2017-12-01,12,8,-0.955511445027436,3,12.8167752779724,10.4583204922951,9.32331185063534,-1.03026720427663,-0.469299823957677,-0.682263693178181,-0.562424344182099,0.611795584865951
17,Ishikawa,2017,12,201712,1,11,1147000,163000,0.142,31743,10670,1.5,382655,2017-12-01,12,12,-2.03688192726104,3,12.8548890789239,10.3654275075723,9.2751913442958,-1.58505484309942,-0.424049165625645,-0.823072741920228,-0.639907307897413,-0.257172414792549
18,Fukui,2017,12,201712,2,10,779000,120000,0.154,24581,7768,1.4,258285,2017-12-01,12,12,-1.43508452528932,3,12.4618189053884,10.109729065775,8.95776800997116,-1.72375175280512,-0.890722225754318,-1.21066556673604,-1.15101790433055,0.322139584979784
19,Yamanashi,2017,12,201712,2,4,823000,127000,0.154,26525,6508,2,217685,2017-12-01,12,6,-0.587786664902119,3,12.2908043426898,10.1858429634822,8.78078746833893,-0.891570294570933,-1.09375948137527,-1.09529059451207,-1.4359894877309,0.322139584979784
20,Nagano,2017,12,201712,6,21,2076000,343000,0.165,61184,19433,1.8,625555,2017-12-01,12,27,-1.19625075823203,3,13.3463945346798,11.0216409964111,9.8747279308647,-1.16896411398233,0.159491307680768,0.171628821505453,0.325458086542454,0.853175584771089
21,Gifu,2017,12,201712,3,16,2008000,294000,0.146,55782,16327,1.8,590450,2017-12-01,12,19,-1.55059741241117,3,13.2886402370294,10.9292065156839,9.70057545812617,-1.16896411398233,0.0909224448295064,0.0315147823130439,0.0450402199697787,-0.0640684148684381
22,Shizuoka,2017,12,201712,12,22,3675000,532000,0.145,89584,30729,2.1,1161120,2017-12-01,12,34,-0.587786664902119,3,13.964895614512,11.4029320115887,10.3329621131046,-0.752873384865235,0.893807496116008,0.749597387175235,1.06330033336095,-0.112344414849466
23,Aichi,2017,12,201712,27,50,7525000,888000,0.118,151961,41473,2,2836767,2017-12-01,12,77,-0.607787331608789,3,14.8581755814087,11.931379187959,10.6327978920756,-0.891570294570933,1.95435526536996,1.55062821245382,1.54609169508576,-1.41579641433721
24,Mie,2017,12,201712,4,6,1800000,264000,0.147,52471,15730,1.8,494152,2017-12-01,12,10,-0.367724780125317,3,13.1105984411502,10.8680159150088,9.66332499605232,-1.16896411398233,-0.12045790226332,-0.0612391570584637,-0.0149399510799649,-0.0157924148874103
25,Shiga,2017,12,201712,6,9,1413000,172000,0.122,33428,8802,1.9,386547,2017-12-01,12,15,-0.379489621704904,3,12.8650087437561,10.4171491511213,9.08273424737104,-1.03026720427663,-0.412034580768537,-0.744672037612501,-0.949799023345161,-1.2226924144131
26,Kyoto,2017,12,201712,4,20,2599000,367000,0.141,81228,21365,2.3,749400,2017-12-01,12,24,-1.51634748936809,3,13.5270281653417,11.3050152942966,9.96950934807812,-0.47547956545384,0.373948813893823,0.601173263879203,0.478073793846398,-0.305448414773577
27,Osaka,2017,12,201712,24,75,8823000,1168000,0.132,247363,51263,3.1,3578618,2017-12-01,12,99,-1.1254595387043,3,15.0904872503272,12.4186121723801,10.8447245233714,0.634095712191742,2.23016758779235,2.2891857392334,1.88733298143328,-0.739932414602825
